00001:Phường Phúc Xá, Quận Ba Đình, Thành phố Hà Nội
09847:Xã Đức Giang, Huyện Hoài Đức, Thành phố Hà Nội
09850:Xã Cát Quế, Huyện Hoài Đức, Thành phố Hà Nội
09853:Xã Kim Chung, Huyện Hoài Đức, Thành phố Hà Nội
09856:Xã Yên Sở, Huyện Hoài Đức, Thành phố Hà Nội
09859:Xã Sơn Đồng, Huyện Hoài Đức, Thành phố Hà Nội
09862:Xã Vân Canh, Huyện Hoài Đức, Thành phố Hà Nội
09865:Xã Đắc Sở, Huyện Hoài Đức, Thành phố Hà Nội
09868:Xã Lại Yên, Huyện Hoài Đức, Thành phố Hà Nội
09871:Xã Tiền Yên, Huyện Hoài Đức, Thành phố Hà Nội
09874:Xã Song Phương, Huyện Hoài Đức, Thành phố Hà Nội
09877:Xã An Khánh, Huyện Hoài Đức, Thành phố Hà Nội
09880:Xã An Thượng, Huyện Hoài Đức, Thành phố Hà Nội
09883:Xã Vân Côn, Huyện Hoài Đức, Thành phố Hà Nội
09889:Xã La Phù, Huyện Hoài Đức, Thành phố Hà Nội
09892:Xã Đông La, Huyện Hoài Đức, Thành phố Hà Nội
04939:Xã Đông Xuân, Huyện Quốc Oai, Thành phố Hà Nội
09895:Thị trấn Quốc Oai, Huyện Quốc Oai, Thành phố Hà Nội
09898:Xã Sài Sơn, Huyện Quốc Oai, Thành phố Hà Nội
09901:Xã Phượng Cách, Huyện Quốc Oai, Thành phố Hà Nội
09904:Xã Yên Sơn, Huyện Quốc Oai, Thành phố Hà Nội
09907:Xã Ngọc Liệp, Huyện Quốc Oai, Thành phố Hà Nội
09910:Xã Ngọc Mỹ, Huyện Quốc Oai, Thành phố Hà Nội
09913:Xã Liệp Tuyết, Huyện Quốc Oai, Thành phố Hà Nội
09916:Xã Thạch Thán, Huyện Quốc Oai, Thành phố Hà Nội
09919:Xã Đồng Quang, Huyện Quốc Oai, Thành phố Hà Nội
09922:Xã Phú Cát, Huyện Quốc Oai, Thành phố Hà Nội
09925:Xã Tuyết Nghĩa, Huyện Quốc Oai, Thành phố Hà Nội
09928:Xã Nghĩa Hương, Huyện Quốc Oai, Thành phố Hà Nội
09931:Xã Cộng Hòa, Huyện Quốc Oai, Thành phố Hà Nội
09934:Xã Tân Phú, Huyện Quốc Oai, Thành phố Hà Nội
09937:Xã Đại Thành, Huyện Quốc Oai, Thành phố Hà Nội
09940:Xã Phú Mãn, Huyện Quốc Oai, Thành phố Hà Nội
09943:Xã Cấn Hữu, Huyện Quốc Oai, Thành phố Hà Nội
09946:Xã Tân Hòa, Huyện Quốc Oai, Thành phố Hà Nội
09949:Xã Hòa Thạch, Huyện Quốc Oai, Thành phố Hà Nội
09952:Xã Đông Yên, Huyện Quốc Oai, Thành phố Hà Nội
04927:Xã Yên Trung, Huyện Thạch Thất, Thành phố Hà Nội
04930:Xã Yên Bình, Huyện Thạch Thất, Thành phố Hà Nội
04936:Xã Tiến Xuân, Huyện Thạch Thất, Thành phố Hà Nội
09955:Thị trấn Liên Quan, Huyện Thạch Thất, Thành phố Hà Nội
09958:Xã Đại Đồng, Huyện Thạch Thất, Thành phố Hà Nội
09961:Xã Cẩm Yên, Huyện Thạch Thất, Thành phố Hà Nội
09964:Xã Lại Thượng, Huyện Thạch Thất, Thành phố Hà Nội
09967:Xã Phú Kim, Huyện Thạch Thất, Thành phố Hà Nội
09970:Xã Hương Ngải, Huyện Thạch Thất, Thành phố Hà Nội
09973:Xã Canh Nậu, Huyện Thạch Thất, Thành phố Hà Nội
09976:Xã Kim Quan, Huyện Thạch Thất, Thành phố Hà Nội
09979:Xã Dị Nậu, Huyện Thạch Thất, Thành phố Hà Nội
09982:Xã Bình Yên, Huyện Thạch Thất, Thành phố Hà Nội
09985:Xã Chàng Sơn, Huyện Thạch Thất, Thành phố Hà Nội
09988:Xã Thạch Hoà, Huyện Thạch Thất, Thành phố Hà Nội
09991:Xã Cần Kiệm, Huyện Thạch Thất, Thành phố Hà Nội
09994:Xã Hữu Bằng, Huyện Thạch Thất, Thành phố Hà Nội
09997:Xã Phùng Xá, Huyện Thạch Thất, Thành phố Hà Nội
10000:Xã Tân Xã, Huyện Thạch Thất, Thành phố Hà Nội
10003:Xã Thạch Xá, Huyện Thạch Thất, Thành phố Hà Nội
10006:Xã Bình Phú, Huyện Thạch Thất, Thành phố Hà Nội
10009:Xã Hạ Bằng, Huyện Thạch Thất, Thành phố Hà Nội
10012:Xã Đồng Trúc, Huyện Thạch Thất, Thành phố Hà Nội
10015:Thị trấn Chúc Sơn, Huyện Chương Mỹ, Thành phố Hà Nội
10018:Thị trấn Xuân Mai, Huyện Chương Mỹ, Thành phố Hà Nội
10021:Xã Phụng Châu, Huyện Chương Mỹ, Thành phố Hà Nội
10024:Xã Tiên Phương, Huyện Chương Mỹ, Thành phố Hà Nội
10027:Xã Đông Sơn, Huyện Chương Mỹ, Thành phố Hà Nội
10030:Xã Đông Phương Yên, Huyện Chương Mỹ, Thành phố Hà Nội
10033:Xã Phú Nghĩa, Huyện Chương Mỹ, Thành phố Hà Nội
10039:Xã Trường Yên, Huyện Chương Mỹ, Thành phố Hà Nội
10042:Xã Ngọc Hòa, Huyện Chương Mỹ, Thành phố Hà Nội
10045:Xã Thủy Xuân Tiên, Huyện Chương Mỹ, Thành phố Hà Nội
10048:Xã Thanh Bình, Huyện Chương Mỹ, Thành phố Hà Nội
10051:Xã Trung Hòa, Huyện Chương Mỹ, Thành phố Hà Nội
10054:Xã Đại Yên, Huyện Chương Mỹ, Thành phố Hà Nội
10057:Xã Thụy Hương, Huyện Chương Mỹ, Thành phố Hà Nội
10060:Xã Tốt Động, Huyện Chương Mỹ, Thành phố Hà Nội
10063:Xã Lam Điền, Huyện Chương Mỹ, Thành phố Hà Nội
10066:Xã Tân Tiến, Huyện Chương Mỹ, Thành phố Hà Nội
10069:Xã Nam Phương Tiến, Huyện Chương Mỹ, Thành phố Hà Nội
10072:Xã Hợp Đồng, Huyện Chương Mỹ, Thành phố Hà Nội
10075:Xã Hoàng Văn Thụ, Huyện Chương Mỹ, Thành phố Hà Nội
10078:Xã Hoàng Diệu, Huyện Chương Mỹ, Thành phố Hà Nội
10081:Xã Hữu Văn, Huyện Chương Mỹ, Thành phố Hà Nội
10084:Xã Quảng Bị, Huyện Chương Mỹ, Thành phố Hà Nội
10087:Xã Mỹ Lương, Huyện Chương Mỹ, Thành phố Hà Nội
10090:Xã Thượng Vực, Huyện Chương Mỹ, Thành phố Hà Nội
10093:Xã Hồng Phong, Huyện Chương Mỹ, Thành phố Hà Nội
10096:Xã Đồng Phú, Huyện Chương Mỹ, Thành phố Hà Nội
10099:Xã Trần Phú, Huyện Chương Mỹ, Thành phố Hà Nội
10102:Xã Văn Võ, Huyện Chương Mỹ, Thành phố Hà Nội
10105:Xã Đồng Lạc, Huyện Chương Mỹ, Thành phố Hà Nội
10108:Xã Hòa Chính, Huyện Chương Mỹ, Thành phố Hà Nội
10111:Xã Phú Nam An, Huyện Chương Mỹ, Thành phố Hà Nội
10114:Thị trấn Kim Bài, Huyện Thanh Oai, Thành phố Hà Nội
10120:Xã Cự Khê, Huyện Thanh Oai, Thành phố Hà Nội
10126:Xã Bích Hòa, Huyện Thanh Oai, Thành phố Hà Nội
10129:Xã Mỹ Hưng, Huyện Thanh Oai, Thành phố Hà Nội
10132:Xã Cao Viên, Huyện Thanh Oai, Thành phố Hà Nội
10135:Xã Bình Minh, Huyện Thanh Oai, Thành phố Hà Nội
10138:Xã Tam Hưng, Huyện Thanh Oai, Thành phố Hà Nội
10141:Xã Thanh Cao, Huyện Thanh Oai, Thành phố Hà Nội
10144:Xã Thanh Thùy, Huyện Thanh Oai, Thành phố Hà Nội
10147:Xã Thanh Mai, Huyện Thanh Oai, Thành phố Hà Nội
10150:Xã Thanh Văn, Huyện Thanh Oai, Thành phố Hà Nội
10153:Xã Đỗ Động, Huyện Thanh Oai, Thành phố Hà Nội
10156:Xã Kim An, Huyện Thanh Oai, Thành phố Hà Nội
10159:Xã Kim Thư, Huyện Thanh Oai, Thành phố Hà Nội
10162:Xã Phương Trung, Huyện Thanh Oai, Thành phố Hà Nội
10165:Xã Tân Ước, Huyện Thanh Oai, Thành phố Hà Nội
10168:Xã Dân Hòa, Huyện Thanh Oai, Thành phố Hà Nội
10171:Xã Liên Châu, Huyện Thanh Oai, Thành phố Hà Nội
10174:Xã Cao Dương, Huyện Thanh Oai, Thành phố Hà Nội
10177:Xã Xuân Dương, Huyện Thanh Oai, Thành phố Hà Nội
10180:Xã Hồng Dương, Huyện Thanh Oai, Thành phố Hà Nội
10183:Thị trấn Thường Tín, Huyện Thường Tín, Thành phố Hà Nội
10186:Xã Ninh Sở, Huyện Thường Tín, Thành phố Hà Nội
10189:Xã Nhị Khê, Huyện Thường Tín, Thành phố Hà Nội
10192:Xã Duyên Thái, Huyện Thường Tín, Thành phố Hà Nội
10195:Xã Khánh Hà, Huyện Thường Tín, Thành phố Hà Nội
10198:Xã Hòa Bình, Huyện Thường Tín, Thành phố Hà Nội
10201:Xã Văn Bình, Huyện Thường Tín, Thành phố Hà Nội
10204:Xã Hiền Giang, Huyện Thường Tín, Thành phố Hà Nội
10207:Xã Hồng Vân, Huyện Thường Tín, Thành phố Hà Nội
10210:Xã Vân Tảo, Huyện Thường Tín, Thành phố Hà Nội
10213:Xã Liên Phương, Huyện Thường Tín, Thành phố Hà Nội
10216:Xã Văn Phú, Huyện Thường Tín, Thành phố Hà Nội
10219:Xã Tự Nhiên, Huyện Thường Tín, Thành phố Hà Nội
10222:Xã Tiền Phong, Huyện Thường Tín, Thành phố Hà Nội
10225:Xã Hà Hồi, Huyện Thường Tín, Thành phố Hà Nội
10228:Xã Thư Phú, Huyện Thường Tín, Thành phố Hà Nội
10231:Xã Nguyễn Trãi, Huyện Thường Tín, Thành phố Hà Nội
10234:Xã Quất Động, Huyện Thường Tín, Thành phố Hà Nội
10237:Xã Chương Dương, Huyện Thường Tín, Thành phố Hà Nội
10240:Xã Tân Minh, Huyện Thường Tín, Thành phố Hà Nội
10243:Xã Lê Lợi, Huyện Thường Tín, Thành phố Hà Nội
10246:Xã Thắng Lợi, Huyện Thường Tín, Thành phố Hà Nội
10249:Xã Dũng Tiến, Huyện Thường Tín, Thành phố Hà Nội
10252:Xã Thống Nhất, Huyện Thường Tín, Thành phố Hà Nội
10255:Xã Nghiêm Xuyên, Huyện Thường Tín, Thành phố Hà Nội
10258:Xã Tô Hiệu, Huyện Thường Tín, Thành phố Hà Nội
10261:Xã Văn Tự, Huyện Thường Tín, Thành phố Hà Nội
10264:Xã Vạn Điểm, Huyện Thường Tín, Thành phố Hà Nội
10267:Xã Minh Cường, Huyện Thường Tín, Thành phố Hà Nội
10270:Thị trấn Phú Minh, Huyện Phú Xuyên, Thành phố Hà Nội
10273:Thị trấn Phú Xuyên, Huyện Phú Xuyên, Thành phố Hà Nội
10276:Xã Hồng Minh, Huyện Phú Xuyên, Thành phố Hà Nội
10279:Xã Phượng Dực, Huyện Phú Xuyên, Thành phố Hà Nội
10282:Xã Văn Nhân, Huyện Phú Xuyên, Thành phố Hà Nội
10285:Xã Thụy Phú, Huyện Phú Xuyên, Thành phố Hà Nội
10288:Xã Tri Trung, Huyện Phú Xuyên, Thành phố Hà Nội
10291:Xã Đại Thắng, Huyện Phú Xuyên, Thành phố Hà Nội
10294:Xã Phú Túc, Huyện Phú Xuyên, Thành phố Hà Nội
10297:Xã Văn Hoàng, Huyện Phú Xuyên, Thành phố Hà Nội
10300:Xã Hồng Thái, Huyện Phú Xuyên, Thành phố Hà Nội
10303:Xã Hoàng Long, Huyện Phú Xuyên, Thành phố Hà Nội
10306:Xã Quang Trung, Huyện Phú Xuyên, Thành phố Hà Nội
10309:Xã Nam Phong, Huyện Phú Xuyên, Thành phố Hà Nội
10312:Xã Nam Triều, Huyện Phú Xuyên, Thành phố Hà Nội
10315:Xã Tân Dân, Huyện Phú Xuyên, Thành phố Hà Nội
10318:Xã Sơn Hà, Huyện Phú Xuyên, Thành phố Hà Nội
10321:Xã Chuyên Mỹ, Huyện Phú Xuyên, Thành phố Hà Nội
10324:Xã Khai Thái, Huyện Phú Xuyên, Thành phố Hà Nội
10327:Xã Phúc Tiến, Huyện Phú Xuyên, Thành phố Hà Nội
10330:Xã Vân Từ, Huyện Phú Xuyên, Thành phố Hà Nội
10333:Xã Tri Thủy, Huyện Phú Xuyên, Thành phố Hà Nội
10336:Xã Đại Xuyên, Huyện Phú Xuyên, Thành phố Hà Nội
10339:Xã Phú Yên, Huyện Phú Xuyên, Thành phố Hà Nội
10342:Xã Bạch Hạ, Huyện Phú Xuyên, Thành phố Hà Nội
10345:Xã Quang Lãng, Huyện Phú Xuyên, Thành phố Hà Nội
10348:Xã Châu Can, Huyện Phú Xuyên, Thành phố Hà Nội
10351:Xã Minh Tân, Huyện Phú Xuyên, Thành phố Hà Nội
10354:Thị trấn Vân Đình, Huyện Ứng Hòa, Thành phố Hà Nội
10357:Xã Viên An, Huyện Ứng Hòa, Thành phố Hà Nội
10360:Xã Viên Nội, Huyện Ứng Hòa, Thành phố Hà Nội
10363:Xã Hoa Sơn, Huyện Ứng Hòa, Thành phố Hà Nội
10366:Xã Quảng Phú Cầu, Huyện Ứng Hòa, Thành phố Hà Nội
10369:Xã Trường Thịnh, Huyện Ứng Hòa, Thành phố Hà Nội
10372:Xã Cao Thành, Huyện Ứng Hòa, Thành phố Hà Nội
10375:Xã Liên Bạt, Huyện Ứng Hòa, Thành phố Hà Nội
10378:Xã Sơn Công, Huyện Ứng Hòa, Thành phố Hà Nội
10381:Xã Đồng Tiến, Huyện Ứng Hòa, Thành phố Hà Nội
10384:Xã Phương Tú, Huyện Ứng Hòa, Thành phố Hà Nội
10387:Xã Trung Tú, Huyện Ứng Hòa, Thành phố Hà Nội
10390:Xã Đồng Tân, Huyện Ứng Hòa, Thành phố Hà Nội
10393:Xã Tảo Dương Văn, Huyện Ứng Hòa, Thành phố Hà Nội
10396:Xã Vạn Thái, Huyện Ứng Hòa, Thành phố Hà Nội
10399:Xã Minh Đức, Huyện Ứng Hòa, Thành phố Hà Nội
10402:Xã Hòa Lâm, Huyện Ứng Hòa, Thành phố Hà Nội
10405:Xã Hòa Xá, Huyện Ứng Hòa, Thành phố Hà Nội
10408:Xã Trầm Lộng, Huyện Ứng Hòa, Thành phố Hà Nội
10411:Xã Kim Đường, Huyện Ứng Hòa, Thành phố Hà Nội
10414:Xã Hòa Nam, Huyện Ứng Hòa, Thành phố Hà Nội
10417:Xã Hòa Phú, Huyện Ứng Hòa, Thành phố Hà Nội
10420:Xã Đội Bình, Huyện Ứng Hòa, Thành phố Hà Nội
10423:Xã Đại Hùng, Huyện Ứng Hòa, Thành phố Hà Nội
10426:Xã Đông Lỗ, Huyện Ứng Hòa, Thành phố Hà Nội
10429:Xã Phù Lưu, Huyện Ứng Hòa, Thành phố Hà Nội
10432:Xã Đại Cường, Huyện Ứng Hòa, Thành phố Hà Nội
10435:Xã Lưu Hoàng, Huyện Ứng Hòa, Thành phố Hà Nội
10438:Xã Hồng Quang, Huyện Ứng Hòa, Thành phố Hà Nội
10441:Thị trấn Đại Nghĩa, Huyện Mỹ Đức, Thành phố Hà Nội
10444:Xã Đồng Tâm, Huyện Mỹ Đức, Thành phố Hà Nội
10447:Xã Thượng Lâm, Huyện Mỹ Đức, Thành phố Hà Nội
10450:Xã Tuy Lai, Huyện Mỹ Đức, Thành phố Hà Nội
10453:Xã Phúc Lâm, Huyện Mỹ Đức, Thành phố Hà Nội
10456:Xã Mỹ Thành, Huyện Mỹ Đức, Thành phố Hà Nội
10459:Xã Bột Xuyên, Huyện Mỹ Đức, Thành phố Hà Nội
10462:Xã An Mỹ, Huyện Mỹ Đức, Thành phố Hà Nội
10465:Xã Hồng Sơn, Huyện Mỹ Đức, Thành phố Hà Nội
10468:Xã Lê Thanh, Huyện Mỹ Đức, Thành phố Hà Nội
10471:Xã Xuy Xá, Huyện Mỹ Đức, Thành phố Hà Nội
10474:Xã Phùng Xá, Huyện Mỹ Đức, Thành phố Hà Nội
10477:Xã Phù Lưu Tế, Huyện Mỹ Đức, Thành phố Hà Nội
10480:Xã Đại Hưng, Huyện Mỹ Đức, Thành phố Hà Nội
10483:Xã Vạn Kim, Huyện Mỹ Đức, Thành phố Hà Nội
10486:Xã Đốc Tín, Huyện Mỹ Đức, Thành phố Hà Nội
10489:Xã Hương Sơn, Huyện Mỹ Đức, Thành phố Hà Nội
10492:Xã Hùng Tiến, Huyện Mỹ Đức, Thành phố Hà Nội
10495:Xã An Tiến, Huyện Mỹ Đức, Thành phố Hà Nội
10498:Xã Hợp Tiến, Huyện Mỹ Đức, Thành phố Hà Nội
10501:Xã Hợp Thanh, Huyện Mỹ Đức, Thành phố Hà Nội
10504:Xã An Phú, Huyện Mỹ Đức, Thành phố Hà Nội
